id,name,from_anime,gender,price,image_url
102,Ichinose Tokiya,Uta No Prince-Sama,m,1135,http://cdn.myanimelist.net/images/characters/8/128893.jpg
104,Imaizumi Shunsuke,Yowamushi Pedal,m,4466,http://cdn.myanimelist.net/images/characters/6/266439.jpg
105,Inumuta Houka,Kill la Kill,m,600,http://cdn.myanimelist.net/images/characters/6/217767.jpg
107,Isaki Kaname,Nagi no Asukara,m,2848,http://cdn.myanimelist.net/images/characters/5/221709.jpg
108,Isana Yashiro,K,m,2915,http://cdn.myanimelist.net/images/characters/14/170215.jpg
109,Ishida Uryuu,Bleach,m,4352,http://cdn.myanimelist.net/images/characters/5/68257.jpg
110,Itami Youji,GATE,m,4392,http://cdn.myanimelist.net/images/characters/9/287036.jpg
111,Itoshiki Nozomu,Sayonara Zetsubou Sensei,m,2885,http://cdn.myanimelist.net/images/characters/10/78202.jpg
112,Itou Kaiji,Gyakkyou Burai Kaiji,m,1698,http://cdn.myanimelist.net/images/characters/13/29010.jpg
113,Itou_Kaiji,Kaiji,m,2390,http://cdn.myanimelist.net/images/characters/13/29010.jpg
114,Ittoki Otoya,Uta No Prince-Sama,m,2651,http://cdn.myanimelist.net/images/characters/8/128889.jpg
115,Ivan Karelin,Tiger & Bunny,m,2435,http://cdn.myanimelist.net/images/characters/3/133047.jpg
116,Iwaizumi Hajime,Haikyuu!!,m,4485,http://cdn.myanimelist.net/images/characters/3/258959.jpg
117,Ja'far,Magi,m,3334,http://cdn.myanimelist.net/images/characters/5/181339.jpg
119,Jinguuji Ren,Uta No Prince-Sama,m,1891,http://cdn.myanimelist.net/images/characters/10/128895.jpg
120,Jonathan Joestar,JoJo no Kimyou na Bouken (TV),m,3965,http://cdn.myanimelist.net/images/characters/10/182715.jpg
81,Heiwajima Shizuo,Durarara!!,m,4001,https://cdn.myanimelist.net/images/characters/6/322001.jpg
92,Hoshimiya Raichi,Aikatsu!,m,519,https://cdn.myanimelist.net/images/characters/13/278479.jpg
94,Houjou Reisuke,Mirai Nikki,m,4985,https://cdn.myanimelist.net/images/characters/15/39443.jpg
103,Illumi Zoldyck,Hunter x Hunter,m,525,https://cdn.myanimelist.net/images/characters/8/174521.jpg
106,Ion,Tales of The Abyss,m,3904,https://cdn.myanimelist.net/images/characters/14/104055.jpg
121,Joseph Joestar,JoJo no Kimyou na Bouken (TV),m,2944,http://cdn.myanimelist.net/images/characters/6/252863.jpg
122,Judal (Magi),Magi,m,4181,http://cdn.myanimelist.net/images/characters/5/175489.jpg
123,July (darker than black),Darker than Black,m,3302,http://cdn.myanimelist.net/images/characters/10/101898.jpg
124,Kaburagi T Kotetsu,Tiger & Bunny,m,1139,http://cdn.myanimelist.net/images/characters/10/113442.jpg
125,Kagami Taiga,Kuroko no Basket,m,2619,http://cdn.myanimelist.net/images/characters/2/169361.jpg
127,Kageyama Tobio,Haikyuu!!,m,1761,http://cdn.myanimelist.net/images/characters/12/249029.jpg
128,Kai Toshiki,Cardfight!! Vanguard,m,757,http://cdn.myanimelist.net/images/characters/8/108002.jpg
